Vardas               Pavarde              PAZ1     PAZ2     PAZ3     Egz.
Vardas1              Pavarde1              3        9        6        3     
Vardas2              Pavarde2              10       6        9        8     
Vardas3              Pavarde3              7        8        9        1     
Vardas4              Pavarde4              8        4        4        5     
Vardas5              Pavarde5              8        9        4        9     
Vardas6              Pavarde6              8        8        3        8     
Vardas7              Pavarde7              2        9        1        6     
Vardas8              Pavarde8              4        5        9        3     
Vardas9              Pavarde9              6        7        1        3     
Vardas10             Pavarde10             4        9        9        8     
Vardas11             Pavarde11             10       9        4        5     
Vardas12             Pavarde12             4        4        10       4     
Vardas13             Pavarde13             6        6        2        1     
Vardas14             Pavarde14             10       5        7        6     
Vardas15             Pavarde15             1        2        9        8     
Vardas16             Pavarde16             6        2        2        10    
Vardas17             Pavarde17             4        10       7        7     
Vardas18             Pavarde18             9        6        4        6     
Vardas19             Pavarde19             7        1        2        4     
Vardas20             Pavarde20             6        2        10       3     
Vardas21             Pavarde21             8        7        4        10    
Vardas22             Pavarde22             8        3        2        10    
Vardas23             Pavarde23             3        1        10       7     
Vardas24             Pavarde24             3        7        5        2     
Vardas25             Pavarde25             10       2        5        1     
Vardas26             Pavarde26             2        2        10       7     
Vardas27             Pavarde27             2        1        4        2     
Vardas28             Pavarde28             4        8        8        7     
Vardas29             Pavarde29             1        5        4        4     
Vardas30             Pavarde30             10       10       8        5     
Vardas31             Pavarde31             9        8        10       8     
Vardas32             Pavarde32             2        1        9        8     
Vardas33             Pavarde33             8        1        9        2     
Vardas34             Pavarde34             6        10       8        8     
Vardas35             Pavarde35             3        3        7        4     
Vardas36             Pavarde36             2        10       8        5     
Vardas37             Pavarde37             4        2        9        6     
Vardas38             Pavarde38             1        8        1        7     
Vardas39             Pavarde39             6        3        4        5     
Vardas40             Pavarde40             8        8        9        10    
Vardas41             Pavarde41             10       6        8        7     
Vardas42             Pavarde42             10       6        8        7     
Vardas43             Pavarde43             7        10       6        3     
Vardas44             Pavarde44             1        10       8        2     
Vardas45             Pavarde45             5        5        7        9     
Vardas46             Pavarde46             4        10       10       10    
Vardas47             Pavarde47             2        5        2        10    
Vardas48             Pavarde48             5        8        6        10    
Vardas49             Pavarde49             7        1        3        3     
Vardas50             Pavarde50             10       4        5        9     
Vardas51             Pavarde51             3        2        9        4     
Vardas52             Pavarde52             5        7        10       6     
Vardas53             Pavarde53             1        8        2        2     
Vardas54             Pavarde54             6        2        2        6     
Vardas55             Pavarde55             2        7        3        2     
Vardas56             Pavarde56             8        9        1        6     
Vardas57             Pavarde57             3        5        10       5     
Vardas58             Pavarde58             3        5        8        1     
Vardas59             Pavarde59             7        9        9        10    
Vardas60             Pavarde60             10       5        2        8     
Vardas61             Pavarde61             1        2        9        2     
Vardas62             Pavarde62             9        5        2        3     
Vardas63             Pavarde63             2        2        4        9     
Vardas64             Pavarde64             1        4        9        10    
Vardas65             Pavarde65             9        4        9        9     
Vardas66             Pavarde66             6        5        10       8     
Vardas67             Pavarde67             1        5        8        7     
Vardas68             Pavarde68             8        10       9        4     
Vardas69             Pavarde69             2        1        8        4     
Vardas70             Pavarde70             4        5        7        3     
Vardas71             Pavarde71             2        7        5        5     
Vardas72             Pavarde72             9        2        1        3     
Vardas73             Pavarde73             5        7        6        3     
Vardas74             Pavarde74             1        2        10       6     
Vardas75             Pavarde75             10       3        1        2     
Vardas76             Pavarde76             7        3        4        9     
Vardas77             Pavarde77             10       5        5        7     
Vardas78             Pavarde78             7        3        7        7     
Vardas79             Pavarde79             9        7        10       1     
Vardas80             Pavarde80             5        5        2        9     
Vardas81             Pavarde81             3        2        3        6     
Vardas82             Pavarde82             7        9        4        3     
Vardas83             Pavarde83             9        1        3        8     
Vardas84             Pavarde84             9        9        5        4     
Vardas85             Pavarde85             7        9        6        4     
